product_id,date,demand,Description,Group,Brand,CasePerPallet,KgPerCase,ShelfLifeInDays,NetSalesValuePerCase,COGSPerCase,ProfitPerCase,DailyProfit,ShelfLifeLabel,StockMovement,Profitability,Perish,Summer,EventDay
12385000,2019-04-08,64,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,7033600,Long,Fast,A,C3,0,0
12385000,2019-04-09,130,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,14287000,Long,Fast,A,C3,0,0
12385000,2019-04-10,154,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,16924600,Long,Fast,A,C3,0,0
12385000,2019-04-11,108,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,11869200,Long,Fast,A,C3,0,0
12385000,2019-04-12,160,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,17584000,Long,Fast,A,C3,0,0
12385000,2019-04-13,139,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,15276100,Long,Fast,A,C3,0,0
12385000,2019-04-14,90,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,9891000,Long,Fast,A,C3,0,0
12385000,2019-04-15,187,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,20551300,Long,Fast,A,C3,0,1
12385000,2019-04-16,70,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,7693000,Long,Fast,A,C3,0,0
12385000,2019-04-17,81,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,8901900,Long,Fast,A,C3,0,0
12385000,2019-04-18,259,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,28464100,Long,Fast,A,C3,0,0
12385000,2019-04-19,23,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,2527700,Long,Fast,A,C3,0,0
12385000,2019-04-20,154,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,16924600,Long,Fast,A,C3,0,0
12385000,2019-04-21,90,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,9891000,Long,Fast,A,C3,0,1
12385000,2019-04-22,62,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,6813800,Long,Fast,A,C3,0,1
12385000,2019-04-23,173,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,19012700,Long,Fast,A,C3,0,0
12385000,2019-04-24,51,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,5604900,Long,Fast,A,C3,0,0
12385000,2019-04-25,130,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,14287000,Long,Fast,A,C3,0,0
12385000,2019-04-26,129,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,14177100,Long,Fast,A,C3,0,0
12385000,2019-04-27,213,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,23408700,Long,Fast,A,C3,0,0
12385000,2019-04-28,95,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,10440500,Long,Fast,A,C3,0,0
12385000,2019-04-29,124,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,13627600,Long,Fast,A,C3,0,0
12385000,2019-04-30,180,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,19782000,Long,Fast,A,C3,0,1
12385000,2019-05-01,429,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,47147100,Long,Fast,A,C3,1,1
12385000,2019-05-02,319,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,35058100,Long,Fast,A,C3,1,0
12385000,2019-05-03,62,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,6813800,Long,Fast,A,C3,1,0
12385000,2019-05-04,272,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,29892800,Long,Fast,A,C3,1,0
12385000,2019-05-05,207,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,22749300,Long,Fast,A,C3,1,1
12385000,2019-05-06,121,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,13297900,Long,Fast,A,C3,1,0
12385000,2019-05-07,137,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,15056300,Long,Fast,A,C3,1,0
12385000,2019-05-08,151,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,16594900,Long,Fast,A,C3,1,0
12385000,2019-05-09,163,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,17913700,Long,Fast,A,C3,1,0
12385000,2019-05-10,19,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,2088100,Long,Fast,A,C3,1,0
12385000,2019-05-11,87,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,9561300,Long,Fast,A,C3,1,0
12385000,2019-05-12,291,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,31980900,Long,Fast,A,C3,1,0
12385000,2019-05-13,109,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,11979100,Long,Fast,A,C3,1,0
12385000,2019-05-14,34,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,3736600,Long,Fast,A,C3,1,0
12385000,2019-05-15,104,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,11429600,Long,Fast,A,C3,1,0
12385000,2019-05-16,166,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,18243400,Long,Fast,A,C3,1,0
12385000,2019-05-17,329,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,36157100,Long,Fast,A,C3,1,0
12385000,2019-05-18,170,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,18683000,Long,Fast,A,C3,1,0
